customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_calls,number_of_logins,usage_hours,churn
CUST-00601,44,1157.88,51046.24,Month-to-Month,DSL,Electronic Check,4,2.0,17.8,1
CUST-00602,56,475.88,26739.12,Month-to-Month,Fiber Optic,Electronic Check,7,12.0,155.5,1
CUST-00603,53,1163.44,62036.68,Month-to-Month,DSL,Credit Card,3,40.0,166.1,0
CUST-00604,9,984.75,9225.61,One Year,DSL,Bank Transfer,6,31.0,35.2,0
CUST-00605,60,876.85,52960.59,Month-to-Month,DSL,Credit Card,0,19.0,184.5,0
CUST-00606,39,908.42,35441.44,One Year,Fiber Optic,Mailed Check,7,23.0,124.2,0
CUST-00607,23,598.33,13891.57,Two Year,DSL,Credit Card,9,31.0,107.0,0
CUST-00608,37,881.78,33045.81,Month-to-Month,Fiber Optic,Credit Card,0,24.0,134.3,0
CUST-00609,70,468.02,33061.83,One Year,Fiber Optic,Mailed Check,0,23.0,57.6,0
CUST-00610,62,1143.93,71224.76,Month-to-Month,Fiber Optic,Electronic Check,1,28.0,5.1,1
CUST-00611,60,571.61,34444.56,Month-to-Month,Fiber Optic,Credit Card,6,14.0,88.4,0
CUST-00612,33,529.67,17609.2,Month-to-Month,No,Mailed Check,8,29.0,148.7,0
CUST-00613,57,940.05,54056.13,Month-to-Month,Fiber Optic,Mailed Check,9,35.0,183.7,1
CUST-00614,28,890.8,25306.28,Month-to-Month,DSL,Credit Card,8,,86.0,1
CUST-00615,50,706.17,35371.93,Month-to-Month,DSL,Mailed Check,6,31.0,52.7,0
CUST-00616,46,869.2,40452.05,One Year,DSL,Credit Card,7,23.0,26.3,1
CUST-00617,18,443.54,8274.91,Month-to-Month,DSL,Electronic Check,3,33.0,187.1,1
CUST-00618,19,906.0,17380.68,Two Year,DSL,Mailed Check,8,36.0,46.2,0
CUST-00619,4,543.55,2372.77,Month-to-Month,DSL,Mailed Check,2,15.0,182.2,0
CUST-00620,10,545.55,5818.2,One Year,Fiber Optic,Mailed Check,10,24.0,36.8,0
CUST-00621,31,445.96,14012.9,Month-to-Month,Fiber Optic,Electronic Check,0,34.0,3.6,0
CUST-00622,34,599.14,20660.13,Month-to-Month,DSL,Credit Card,10,33.0,44.8,1
CUST-00623,12,598.13,7532.81,Month-to-Month,Fiber Optic,Bank Transfer,5,25.0,98.6,1
CUST-00624,30,708.76,21360.49,Two Year,DSL,Bank Transfer,7,13.0,69.7,0
CUST-00625,44,471.38,21212.84,Two Year,Fiber Optic,Bank Transfer,1,46.0,181.5,0
CUST-00626,16,473.71,7757.45,Month-to-Month,Fiber Optic,Bank Transfer,3,27.0,109.0,0
CUST-00627,24,787.56,19111.13,One Year,DSL,Bank Transfer,9,27.0,23.6,0
CUST-00628,26,415.99,11165.0,One Year,DSL,Bank Transfer,0,23.0,125.1,0
CUST-00629,36,920.01,33424.75,One Year,No,Bank Transfer,2,38.0,77.8,0
CUST-00630,26,1149.55,30108.36,Month-to-Month,Fiber Optic,Credit Card,6,15.0,135.8,1
CUST-00631,53,684.12,36583.23,One Year,Fiber Optic,Electronic Check,8,47.0,157.2,0
CUST-00632,23,1110.99,26004.18,One Year,DSL,Bank Transfer,4,,197.1,0
CUST-00633,31,388.48,12443.02,Month-to-Month,DSL,Electronic Check,0,0.0,115.3,0
CUST-00634,27,338.66,9555.95,Month-to-Month,DSL,Electronic Check,1,26.0,73.4,0
CUST-00635,13,949.23,12469.19,Month-to-Month,No,Credit Card,9,43.0,86.7,1
CUST-00636,50,984.92,,Two Year,DSL,Mailed Check,2,0.0,80.5,0
CUST-00637,17,1058.75,18275.66,Month-to-Month,DSL,Bank Transfer,6,34.0,90.1,1
CUST-00638,21,351.14,7396.04,Month-to-Month,No,Bank Transfer,10,19.0,6.0,1
CUST-00639,57,999.22,57340.44,Month-to-Month,Fiber Optic,Electronic Check,4,1.0,49.5,0
CUST-00640,69,638.88,44244.45,One Year,DSL,Mailed Check,0,18.0,197.6,0
CUST-00641,48,573.0,27645.3,One Year,Fiber Optic,Electronic Check,8,32.0,185.6,0
CUST-00642,66,455.72,30207.17,Month-to-Month,Fiber Optic,Mailed Check,8,32.0,9.7,0
CUST-00643,62,1196.41,74319.11,Month-to-Month,No,Electronic Check,7,43.0,195.9,0
CUST-00644,35,357.3,12674.51,One Year,DSL,Bank Transfer,9,50.0,158.4,0
CUST-00645,56,1044.31,,Month-to-Month,Fiber Optic,Electronic Check,8,2.0,0.5,1
CUST-00646,23,875.54,20429.2,Month-to-Month,DSL,Mailed Check,7,43.0,182.7,1
CUST-00647,33,961.57,31859.67,Two Year,Fiber Optic,Mailed Check,3,0.0,192.1,0
CUST-00648,39,940.55,36784.66,Month-to-Month,Fiber Optic,Credit Card,0,49.0,125.8,0
CUST-00649,70,1072.59,75494.48,Month-to-Month,Fiber Optic,Credit Card,7,39.0,157.7,0
CUST-00650,61,465.41,28436.37,Month-to-Month,No,Mailed Check,9,48.0,66.5,1
CUST-00651,35,300.74,10782.31,One Year,Fiber Optic,Mailed Check,7,3.0,114.5,0
CUST-00652,47,838.68,39678.24,One Year,DSL,Bank Transfer,7,3.0,146.3,1
CUST-00653,14,618.47,8945.65,Month-to-Month,DSL,Bank Transfer,7,50.0,112.3,1
CUST-00654,58,411.41,24304.61,One Year,DSL,Bank Transfer,3,14.0,60.9,0
CUST-00655,40,467.52,19012.76,Two Year,Fiber Optic,Electronic Check,1,19.0,129.8,0
CUST-00656,38,598.57,23232.48,One Year,DSL,Electronic Check,6,15.0,167.7,0
CUST-00657,55,363.21,20412.23,Month-to-Month,Fiber Optic,Bank Transfer,10,7.0,167.2,0
CUST-00658,46,351.22,16263.49,Month-to-Month,Fiber Optic,Mailed Check,1,,26.4,0
CUST-00659,5,1124.42,5742.69,Two Year,No,Credit Card,0,6.0,89.1,0
CUST-00660,21,580.89,12371.08,Month-to-Month,Fiber Optic,Electronic Check,7,43.0,7.7,1
CUST-00661,12,1184.01,14403.88,Month-to-Month,Fiber Optic,Electronic Check,4,1.0,126.6,1
CUST-00662,53,1167.93,62176.79,Month-to-Month,Fiber Optic,Credit Card,9,45.0,48.4,1
CUST-00663,2,428.31,972.88,One Year,No,Credit Card,5,11.0,186.1,0
CUST-00664,14,943.43,13319.19,Month-to-Month,Fiber Optic,Bank Transfer,5,30.0,123.7,1
CUST-00665,43,840.72,36341.65,Month-to-Month,DSL,Electronic Check,0,13.0,80.1,1
CUST-00666,50,921.58,46415.01,One Year,DSL,Electronic Check,10,45.0,146.3,0
CUST-00667,36,386.57,14260.58,Month-to-Month,No,Credit Card,3,2.0,41.5,1
CUST-00668,62,469.7,29609.46,Month-to-Month,Fiber Optic,Mailed Check,4,36.0,18.3,0
CUST-00669,67,368.97,24822.2,Month-to-Month,Fiber Optic,Mailed Check,6,47.0,17.5,0
CUST-00670,9,843.72,7789.91,Month-to-Month,Fiber Optic,Credit Card,9,22.0,116.6,1
CUST-00671,69,1187.93,82449.51,Two Year,Fiber Optic,Electronic Check,8,22.0,177.8,0
CUST-00672,44,904.79,40155.76,Month-to-Month,Fiber Optic,Mailed Check,8,7.0,44.6,1
CUST-00673,46,939.69,43521.88,One Year,No,Bank Transfer,1,44.0,152.0,0
CUST-00674,6,1186.13,7386.6,Month-to-Month,No,Credit Card,0,48.0,7.5,1
CUST-00675,45,910.21,40997.21,Month-to-Month,DSL,Mailed Check,9,25.0,,1
CUST-00676,52,336.16,17927.01,Month-to-Month,DSL,Electronic Check,10,35.0,130.7,0
CUST-00677,42,1080.31,45685.77,Month-to-Month,DSL,Electronic Check,6,38.0,165.3,1
CUST-00678,6,628.21,4055.09,Month-to-Month,Fiber Optic,Electronic Check,10,18.0,188.6,1
CUST-00679,38,303.93,11819.09,Month-to-Month,Fiber Optic,Mailed Check,3,0.0,126.5,0
CUST-00680,68,756.51,51638.64,Two Year,Fiber Optic,Bank Transfer,3,6.0,92.5,0
CUST-00681,52,1143.31,59579.45,Month-to-Month,Fiber Optic,Mailed Check,1,45.0,12.1,0
CUST-00682,10,531.6,5693.66,Two Year,DSL,Electronic Check,8,40.0,55.1,0
CUST-00683,70,742.36,52219.98,Month-to-Month,Fiber Optic,Bank Transfer,7,4.0,184.6,0
CUST-00684,69,456.4,31508.57,Month-to-Month,Fiber Optic,Credit Card,2,40.0,116.6,0
CUST-00685,12,351.92,4422.59,One Year,Fiber Optic,Electronic Check,10,45.0,68.5,0
CUST-00686,58,372.49,22068.72,Month-to-Month,DSL,Bank Transfer,0,27.0,49.8,0
CUST-00687,29,954.31,27861.94,Month-to-Month,DSL,Bank Transfer,8,23.0,22.7,0
CUST-00688,43,1077.67,46546.43,Month-to-Month,Fiber Optic,Bank Transfer,2,50.0,150.3,0
CUST-00689,32,428.97,14039.02,Month-to-Month,Fiber Optic,Electronic Check,8,44.0,82.5,0
CUST-00690,57,559.49,32291.77,One Year,Fiber Optic,Bank Transfer,5,19.0,187.3,0
CUST-00691,72,475.53,,Month-to-Month,No,Bank Transfer,2,24.0,90.9,0
CUST-00692,58,324.17,19226.89,Two Year,DSL,Bank Transfer,0,48.0,163.7,0
CUST-00693,67,798.09,53529.02,Month-to-Month,DSL,Credit Card,6,46.0,26.0,0
CUST-00694,69,929.93,64627.47,Month-to-Month,DSL,Bank Transfer,1,32.0,30.2,0
CUST-00695,6,883.09,5750.5,Month-to-Month,DSL,Credit Card,4,33.0,54.6,1
CUST-00696,18,649.25,11946.07,Month-to-Month,Fiber Optic,Bank Transfer,10,37.0,38.2,1
CUST-00697,52,799.51,41886.89,Two Year,DSL,Mailed Check,9,14.0,195.3,1
CUST-00698,43,384.69,16648.08,One Year,DSL,Credit Card,5,46.0,161.6,0
CUST-00699,3,438.87,1540.58,Month-to-Month,Fiber Optic,Bank Transfer,8,14.0,69.7,1
CUST-00700,6,1138.62,,Month-to-Month,DSL,Bank Transfer,9,42.0,104.0,1
CUST-00701,37,985.36,36469.31,One Year,Fiber Optic,Bank Transfer,6,41.0,106.6,1
CUST-00702,44,1130.47,50231.13,Month-to-Month,DSL,Mailed Check,2,14.0,121.4,1
CUST-00703,12,1125.01,13629.69,Month-to-Month,DSL,Bank Transfer,8,,20.7,1
CUST-00704,12,884.45,10909.95,Month-to-Month,DSL,Mailed Check,0,44.0,69.8,0
CUST-00705,9,1135.41,10368.82,Month-to-Month,DSL,Electronic Check,5,25.0,17.2,1
CUST-00706,41,675.03,27861.54,Month-to-Month,DSL,Mailed Check,8,27.0,183.8,1
CUST-00707,0,303.25,198.88,Month-to-Month,Fiber Optic,Credit Card,6,25.0,80.7,1
CUST-00708,41,356.31,,Two Year,No,Mailed Check,3,2.0,145.4,0
CUST-00709,34,398.54,,Month-to-Month,DSL,Bank Transfer,4,27.0,184.2,1
CUST-00710,34,385.82,13598.35,Two Year,DSL,Mailed Check,5,34.0,61.9,0
CUST-00711,49,616.53,30424.29,One Year,DSL,Mailed Check,8,28.0,17.6,0
CUST-00712,38,931.14,35869.98,Month-to-Month,Fiber Optic,Mailed Check,10,25.0,67.2,0
CUST-00713,53,1011.58,53947.64,Month-to-Month,DSL,Credit Card,8,25.0,134.2,0
CUST-00714,55,831.19,46019.02,Month-to-Month,DSL,Electronic Check,3,27.0,100.0,0
CUST-00715,67,431.79,29048.48,One Year,No,Bank Transfer,1,47.0,15.0,0
CUST-00716,58,973.11,56471.84,Month-to-Month,No,Credit Card,5,20.0,14.0,0
CUST-00717,37,619.32,23340.81,Two Year,Fiber Optic,Electronic Check,9,11.0,139.9,0
CUST-00718,35,311.69,11196.14,One Year,DSL,Credit Card,6,3.0,147.3,0
CUST-00719,17,552.53,9600.22,One Year,DSL,Bank Transfer,3,44.0,21.9,0
CUST-00720,43,597.54,,Month-to-Month,DSL,Mailed Check,0,9.0,158.9,0
CUST-00721,10,546.82,5623.49,One Year,Fiber Optic,Electronic Check,2,21.0,69.1,0
CUST-00722,67,1030.68,69447.37,One Year,Fiber Optic,Credit Card,7,38.0,13.6,0
CUST-00723,61,983.93,60183.71,One Year,DSL,Electronic Check,7,9.0,66.8,1
CUST-00724,8,926.0,7868.44,Month-to-Month,No,Credit Card,4,11.0,146.1,1
CUST-00725,57,425.1,24364.68,One Year,Fiber Optic,Bank Transfer,3,32.0,131.2,0
CUST-00726,8,1027.05,8285.18,Month-to-Month,Fiber Optic,Credit Card,1,32.0,96.3,1
CUST-00727,52,909.46,47640.97,One Year,DSL,Mailed Check,10,12.0,55.9,0
CUST-00728,6,475.35,2933.52,Month-to-Month,DSL,Electronic Check,4,27.0,83.6,1
CUST-00729,35,883.28,31389.48,Month-to-Month,DSL,Bank Transfer,8,35.0,76.3,1
CUST-00730,48,735.16,35615.46,One Year,Fiber Optic,Mailed Check,5,11.0,78.0,0
CUST-00731,53,695.42,36972.69,Month-to-Month,DSL,Bank Transfer,6,22.0,97.9,0
CUST-00732,30,400.91,12131.71,One Year,DSL,Mailed Check,7,14.0,91.1,0
CUST-00733,67,766.47,51815.43,One Year,Fiber Optic,Mailed Check,3,47.0,20.5,0
CUST-00734,56,389.94,22140.57,One Year,Fiber Optic,Bank Transfer,10,19.0,58.0,0
CUST-00735,15,447.83,7164.32,One Year,Fiber Optic,Bank Transfer,5,,25.8,0
CUST-00736,48,419.29,20181.03,Month-to-Month,Fiber Optic,Bank Transfer,8,44.0,120.4,0
CUST-00737,53,1158.7,61873.8,Month-to-Month,Fiber Optic,Bank Transfer,10,8.0,84.6,1
CUST-00738,24,556.38,13613.14,One Year,Fiber Optic,Bank Transfer,4,48.0,134.4,0
CUST-00739,53,619.68,33177.25,Month-to-Month,DSL,Mailed Check,2,2.0,17.5,0
CUST-00740,65,589.87,38527.99,Month-to-Month,DSL,Credit Card,10,19.0,69.0,0
CUST-00741,59,1108.43,65426.94,Month-to-Month,Fiber Optic,Electronic Check,8,8.0,36.1,1
CUST-00742,55,806.67,44845.84,Month-to-Month,DSL,Credit Card,8,2.0,18.4,0
CUST-00743,46,1127.24,52350.34,Two Year,Fiber Optic,Credit Card,10,28.0,154.7,0
CUST-00744,19,569.93,,Month-to-Month,Fiber Optic,Bank Transfer,0,30.0,26.2,0
CUST-00745,58,403.35,23866.23,Month-to-Month,DSL,Electronic Check,10,29.0,35.0,0
CUST-00746,26,800.6,20899.46,Two Year,Fiber Optic,Credit Card,1,21.0,73.4,0
CUST-00747,38,610.98,23294.58,Two Year,Fiber Optic,Bank Transfer,1,40.0,58.6,0
CUST-00748,22,1021.72,22514.4,Month-to-Month,Fiber Optic,Credit Card,2,25.0,184.0,1
CUST-00749,22,1091.48,24208.19,Two Year,No,Electronic Check,1,27.0,197.7,0
CUST-00750,11,725.32,8004.67,Month-to-Month,DSL,Mailed Check,0,22.0,84.5,0
CUST-00751,70,1174.22,82392.73,One Year,DSL,Mailed Check,1,10.0,40.2,0
CUST-00752,10,797.71,8046.3,Month-to-Month,DSL,Credit Card,5,33.0,99.6,0
CUST-00753,6,543.83,3628.24,Month-to-Month,Fiber Optic,Mailed Check,4,42.0,99.1,0
CUST-00754,68,740.08,50742.12,Month-to-Month,DSL,Electronic Check,3,15.0,93.2,0
CUST-00755,40,333.58,13687.11,One Year,No,Bank Transfer,1,23.0,4.1,0
CUST-00756,31,1023.6,31831.85,Month-to-Month,DSL,Electronic Check,10,45.0,25.7,1
CUST-00757,53,391.29,21121.79,Month-to-Month,Fiber Optic,Mailed Check,3,10.0,28.2,0
CUST-00758,27,577.87,15727.24,One Year,Fiber Optic,Credit Card,5,21.0,70.4,0
CUST-00759,9,808.78,7658.76,Month-to-Month,DSL,Mailed Check,1,13.0,116.2,0
CUST-00760,53,338.68,18233.74,Two Year,Fiber Optic,Mailed Check,2,17.0,175.6,0
CUST-00761,12,371.39,4640.04,Month-to-Month,Fiber Optic,Electronic Check,2,23.0,44.7,0
CUST-00762,40,926.5,37101.75,Month-to-Month,Fiber Optic,Mailed Check,10,47.0,154.2,0
CUST-00763,69,364.6,25571.15,Month-to-Month,Fiber Optic,Credit Card,1,0.0,45.2,0
CUST-00764,68,729.37,50066.99,Month-to-Month,Fiber Optic,Credit Card,5,18.0,6.5,0
CUST-00765,26,604.83,16058.54,Month-to-Month,Fiber Optic,Credit Card,5,,130.0,0
CUST-00766,56,505.27,28777.39,Month-to-Month,Fiber Optic,Mailed Check,0,4.0,42.9,0
CUST-00767,44,469.9,21142.66,One Year,DSL,Electronic Check,3,,183.9,0
CUST-00768,34,987.07,33657.68,Month-to-Month,Fiber Optic,Electronic Check,0,7.0,186.7,1
CUST-00769,10,1156.39,11929.51,Month-to-Month,DSL,Electronic Check,1,28.0,21.0,1
CUST-00770,27,426.16,11680.97,One Year,Fiber Optic,Electronic Check,7,36.0,38.9,0
CUST-00771,47,1163.71,54938.13,Month-to-Month,DSL,Bank Transfer,6,32.0,42.1,1
CUST-00772,72,835.29,60219.36,One Year,No,Bank Transfer,5,28.0,182.3,0
CUST-00773,0,877.49,487.39,Two Year,DSL,Bank Transfer,2,37.0,15.6,0
CUST-00774,52,938.93,49187.43,Month-to-Month,DSL,Electronic Check,6,27.0,150.2,1
CUST-00775,61,933.71,57089.76,One Year,DSL,Bank Transfer,9,31.0,57.5,0
CUST-00776,69,1037.83,71796.01,Two Year,DSL,Electronic Check,9,4.0,,0
CUST-00777,30,735.12,22264.84,Month-to-Month,DSL,Bank Transfer,1,,35.5,1
CUST-00778,8,780.02,6613.93,Two Year,Fiber Optic,Credit Card,7,8.0,161.3,1
CUST-00779,19,591.44,11700.21,Month-to-Month,DSL,Mailed Check,2,27.0,134.2,1
CUST-00780,62,394.73,24633.98,One Year,DSL,Mailed Check,9,20.0,4.2,0
CUST-00781,64,898.18,57719.77,Month-to-Month,DSL,Mailed Check,5,18.0,47.4,0
CUST-00782,46,330.25,15488.1,Month-to-Month,DSL,Bank Transfer,8,22.0,93.3,0
CUST-00783,8,548.07,4581.23,Two Year,No,Bank Transfer,5,50.0,106.2,0
CUST-00784,8,384.81,3330.57,Month-to-Month,DSL,Electronic Check,7,19.0,165.5,1
CUST-00785,34,471.65,16088.95,Two Year,Fiber Optic,Mailed Check,10,22.0,77.4,1
CUST-00786,42,874.86,36827.96,One Year,Fiber Optic,Bank Transfer,1,25.0,185.4,0
CUST-00787,2,865.63,1931.81,Two Year,Fiber Optic,Bank Transfer,9,39.0,38.8,0
CUST-00788,50,678.95,34404.97,Two Year,Fiber Optic,Bank Transfer,5,37.0,171.5,0
CUST-00789,39,381.15,15039.53,One Year,DSL,Bank Transfer,1,49.0,180.9,0
CUST-00790,0,690.04,124.9,Two Year,No,Mailed Check,4,32.0,125.3,0
CUST-00791,6,617.47,4076.25,One Year,Fiber Optic,Bank Transfer,0,48.0,193.5,0
CUST-00792,33,948.41,31772.1,Month-to-Month,DSL,Mailed Check,5,31.0,82.1,1
CUST-00793,52,821.12,42927.8,One Year,No,Mailed Check,5,27.0,139.9,1
CUST-00794,60,742.41,44548.9,Month-to-Month,DSL,Mailed Check,4,28.0,2.0,0
CUST-00795,31,738.28,23230.75,Month-to-Month,No,Mailed Check,4,24.0,54.9,0
CUST-00796,21,1169.67,24770.6,Month-to-Month,No,Electronic Check,6,10.0,113.3,1
CUST-00797,70,980.66,68983.02,Month-to-Month,DSL,Electronic Check,9,18.0,175.2,1
CUST-00798,33,747.28,,Month-to-Month,DSL,Electronic Check,4,30.0,190.6,0
CUST-00799,23,731.3,16821.1,Month-to-Month,Fiber Optic,Mailed Check,0,30.0,,1
CUST-00800,32,323.83,10534.81,One Year,DSL,Mailed Check,6,8.0,171.2,0
CUST-00801,0,1148.26,352.4,One Year,Fiber Optic,Electronic Check,10,40.0,159.8,1
CUST-00802,22,587.26,13116.28,Two Year,DSL,Electronic Check,4,36.0,154.7,0
CUST-00803,37,530.35,19732.54,Two Year,DSL,Bank Transfer,1,26.0,22.3,0
CUST-00804,67,1199.47,80596.49,Two Year,Fiber Optic,Electronic Check,9,23.0,95.7,0
CUST-00805,53,946.82,,One Year,Fiber Optic,Credit Card,4,28.0,97.3,0
CUST-00806,57,342.63,19589.63,Month-to-Month,Fiber Optic,Electronic Check,4,29.0,157.5,0
CUST-00807,39,355.7,14218.18,Two Year,Fiber Optic,Mailed Check,3,21.0,117.2,0
CUST-00808,8,322.95,2917.27,Month-to-Month,DSL,Credit Card,8,44.0,164.0,1
CUST-00809,28,839.66,,Month-to-Month,Fiber Optic,Electronic Check,1,8.0,191.3,1
CUST-00810,72,364.41,26722.69,Month-to-Month,DSL,Mailed Check,6,19.0,110.9,0
CUST-00811,3,1140.05,3867.5,One Year,DSL,Mailed Check,3,20.0,158.3,1
CUST-00812,64,1143.22,73324.16,One Year,DSL,Bank Transfer,4,5.0,112.1,0
CUST-00813,49,791.45,38796.6,Month-to-Month,Fiber Optic,Credit Card,2,4.0,125.1,0
CUST-00814,20,854.98,17253.75,One Year,DSL,Bank Transfer,8,45.0,95.2,1
CUST-00815,56,562.7,31613.56,Month-to-Month,DSL,Mailed Check,4,,191.9,1
CUST-00816,61,357.58,22086.01,Month-to-Month,Fiber Optic,Mailed Check,10,18.0,163.5,0
CUST-00817,3,963.71,3350.5,Month-to-Month,DSL,Bank Transfer,9,13.0,150.4,1
CUST-00818,7,391.61,3176.44,Month-to-Month,No,Mailed Check,8,20.0,65.9,1
CUST-00819,48,377.0,18248.91,One Year,DSL,Bank Transfer,4,35.0,97.1,0
CUST-00820,72,580.1,41981.5,Month-to-Month,DSL,Mailed Check,10,15.0,172.6,0
CUST-00821,1,311.22,329.49,Month-to-Month,No,Electronic Check,6,3.0,187.3,1
CUST-00822,48,690.63,33422.32,Month-to-Month,Fiber Optic,Bank Transfer,4,21.0,199.5,1
CUST-00823,9,936.91,8463.87,One Year,Fiber Optic,Mailed Check,3,30.0,146.9,0
CUST-00824,47,1021.21,48466.17,Two Year,Fiber Optic,Mailed Check,10,26.0,146.2,0
CUST-00825,45,843.88,38408.07,One Year,DSL,Mailed Check,2,8.0,18.8,0
CUST-00826,6,1062.19,6480.23,One Year,Fiber Optic,Electronic Check,9,43.0,150.3,1
CUST-00827,49,665.85,32976.33,Two Year,Fiber Optic,Mailed Check,2,32.0,69.3,0
CUST-00828,65,1063.89,69436.86,Month-to-Month,Fiber Optic,Credit Card,8,36.0,172.9,0
CUST-00829,63,755.83,,Month-to-Month,DSL,Mailed Check,3,48.0,2.3,0
CUST-00830,2,500.73,,Month-to-Month,DSL,Bank Transfer,9,26.0,186.9,0
CUST-00831,17,1149.73,19641.3,Month-to-Month,DSL,Mailed Check,9,29.0,96.8,1
CUST-00832,17,547.47,9626.91,Month-to-Month,Fiber Optic,Electronic Check,8,38.0,25.6,1
CUST-00833,33,323.58,10718.28,Month-to-Month,DSL,Credit Card,10,39.0,120.2,0
CUST-00834,10,518.41,5476.39,Month-to-Month,No,Credit Card,5,43.0,138.4,0
CUST-00835,62,630.02,39167.59,Month-to-Month,DSL,Electronic Check,9,35.0,156.0,1
CUST-00836,56,616.21,34850.23,Month-to-Month,Fiber Optic,Electronic Check,6,2.0,140.4,1
CUST-00837,59,772.2,45973.82,Month-to-Month,DSL,Credit Card,0,17.0,110.7,0
CUST-00838,14,1094.81,15382.1,Two Year,Fiber Optic,Electronic Check,4,30.0,16.4,0
CUST-00839,1,563.1,763.23,One Year,Fiber Optic,Credit Card,0,22.0,172.6,0
CUST-00840,66,768.69,51100.3,Month-to-Month,Fiber Optic,Electronic Check,7,2.0,196.7,0
CUST-00841,21,606.13,12810.58,Month-to-Month,DSL,Credit Card,1,13.0,155.6,0
CUST-00842,47,1039.6,49144.46,Month-to-Month,Fiber Optic,Credit Card,3,15.0,6.9,0
CUST-00843,66,441.84,29497.36,Month-to-Month,DSL,Electronic Check,9,1.0,151.1,0
CUST-00844,2,393.16,963.72,Month-to-Month,Fiber Optic,Electronic Check,8,38.0,53.9,1
CUST-00845,0,752.7,415.99,Month-to-Month,Fiber Optic,Electronic Check,3,,192.4,1
CUST-00846,0,904.7,255.33,One Year,DSL,Credit Card,5,40.0,,1
CUST-00847,11,1015.97,11489.17,One Year,Fiber Optic,Mailed Check,6,44.0,18.5,0
CUST-00848,3,830.66,2562.42,One Year,Fiber Optic,Bank Transfer,3,45.0,36.3,0
CUST-00849,59,996.46,58802.72,One Year,DSL,Bank Transfer,8,46.0,150.6,0
CUST-00850,44,653.44,28776.73,One Year,DSL,Bank Transfer,1,25.0,130.3,0
CUST-00851,71,329.58,23852.14,One Year,Fiber Optic,Electronic Check,4,12.0,145.4,0
CUST-00852,58,404.49,23901.74,Two Year,Fiber Optic,Mailed Check,2,4.0,70.8,0
CUST-00853,70,334.85,23843.3,One Year,Fiber Optic,Bank Transfer,7,31.0,175.9,0
CUST-00854,17,596.05,10232.66,One Year,Fiber Optic,Electronic Check,7,6.0,89.3,0
CUST-00855,21,745.94,15927.47,One Year,DSL,Mailed Check,8,12.0,26.8,0
CUST-00856,62,620.69,38880.84,One Year,DSL,Bank Transfer,4,12.0,153.5,0
CUST-00857,17,804.54,14014.51,Month-to-Month,DSL,Mailed Check,2,13.0,105.9,1
CUST-00858,4,732.55,2987.96,Month-to-Month,DSL,Mailed Check,0,18.0,118.7,1
CUST-00859,48,910.15,44134.97,Month-to-Month,DSL,Credit Card,9,16.0,77.0,1
CUST-00860,58,900.27,52296.0,Month-to-Month,DSL,Bank Transfer,3,26.0,142.1,0
CUST-00861,70,586.26,41124.1,Month-to-Month,Fiber Optic,Bank Transfer,8,48.0,7.1,1
CUST-00862,67,611.59,41427.03,Month-to-Month,Fiber Optic,Electronic Check,4,32.0,98.2,0
CUST-00863,8,826.63,6855.35,Month-to-Month,DSL,Credit Card,3,34.0,85.4,1
CUST-00864,56,836.79,47046.69,Two Year,Fiber Optic,Credit Card,2,8.0,149.3,0
CUST-00865,61,583.23,,Month-to-Month,DSL,Credit Card,8,5.0,53.2,1
CUST-00866,50,597.29,30355.2,Month-to-Month,DSL,Bank Transfer,3,9.0,46.7,0
CUST-00867,59,924.64,54613.58,Month-to-Month,No,Bank Transfer,3,43.0,64.0,0
CUST-00868,61,882.67,54221.34,Month-to-Month,Fiber Optic,Bank Transfer,7,8.0,96.1,1
CUST-00869,32,421.55,13656.76,One Year,DSL,Bank Transfer,5,50.0,42.0,1
CUST-00870,2,696.94,1452.4,One Year,DSL,Mailed Check,8,38.0,136.8,1
CUST-00871,33,1103.44,36624.49,Month-to-Month,Fiber Optic,Bank Transfer,1,42.0,66.3,1
CUST-00872,14,332.68,,Month-to-Month,DSL,Mailed Check,10,15.0,84.3,0
CUST-00873,8,1069.65,8660.18,Month-to-Month,No,Credit Card,2,7.0,111.5,1
CUST-00874,9,446.86,4224.37,One Year,Fiber Optic,Mailed Check,1,8.0,75.4,0
CUST-00875,50,756.52,38143.84,Two Year,DSL,Mailed Check,1,43.0,140.2,0
CUST-00876,36,681.9,24836.62,Two Year,Fiber Optic,Electronic Check,3,22.0,131.2,0
CUST-00877,39,309.12,12417.26,Month-to-Month,Fiber Optic,Credit Card,4,20.0,151.4,0
CUST-00878,54,1123.86,61106.64,One Year,Fiber Optic,Bank Transfer,0,12.0,104.6,1
CUST-00879,40,709.43,28581.77,One Year,No,Electronic Check,6,18.0,73.5,0
CUST-00880,45,1158.84,52359.28,Two Year,No,Electronic Check,6,18.0,40.2,0
CUST-00881,6,558.07,3596.77,Month-to-Month,DSL,Credit Card,8,38.0,87.4,1
CUST-00882,62,1079.65,67221.48,Month-to-Month,DSL,Electronic Check,0,42.0,174.6,0
CUST-00883,32,1130.15,36218.96,Month-to-Month,DSL,Mailed Check,1,,24.2,0
CUST-00884,11,801.15,8968.97,Month-to-Month,Fiber Optic,Electronic Check,2,17.0,43.1,1
CUST-00885,59,482.41,28548.14,One Year,Fiber Optic,Bank Transfer,4,23.0,133.0,0
